# This file was automatically generated:
#	Running: extract-unihan.exe -keyword kCangjie unihan.txt
#	When:              Sun Aug 26 02:35:38 2007
#	Program's author:  Hoc D. Ngo (trichlor@trichlor.org, hoc96@yahoo.com)
#
# Info on original database file:
#
#	@.Master database name: Unihan database
#	@.Unicode version: 5.0.0
#	@.Table version: 1.1
#	@.Date: 7 July 2006
#	@.Info:  http://www.unicode.org/charts/unihan.html
#	@.Download:  ftp://ftp.unicode.org/Public/UNIDATA/unihan.zip
#
# The first column is Unicode codepoint in hexadecimal digits (i.e., U+xxxx)
###############################################################################
U+3400	TM
U+4415	BRSJ
U+4416	BSFD
U+4417	BJKA
U+4418	BBME
U+4419	BTLJ
U+441A	BAIL
U+441B	BKSJ
U+441C	BJBC
U+441D	BFBC
U+441E	BNMM
U+441F	BTTB
U+4420	BTYU
U+4421	YSOB
U+4422	BPUU
U+4423	BRBC
U+4424	BTQM
U+4425	BCIM
U+4426	BGIT
U+4427	BYRB
U+4428	GBHNE
U+4429	BUMT
U+442A	BOGS
U+442B	BHOO
U+442C	BTWA
U+442D	BKPB
U+442E	BYKM
U+442F	BWVF
U+4430	BOLB
U+4431	BYCB
U+4432	BSMA
U+4433	BNWF
U+4434	AUB
U+4435	BTMC
U+4436	BMUA
U+4437	BRRJ
U+4438	BLGM
U+4439	BLX
U+443A	BMWJ
U+443B	BJRJ
U+443C	BQHF
U+443D	BTLB
U+443E	BWLJ
U+443F	BHBK
U+4440	BSRJ
U+4441	HBB
U+4442	BHXC
U+4443	BTBO
U+4444	BHUL
U+4445	BTWN
U+4446	BTOV
U+4447	BHLC
U+4448	BVID
U+4449	BYNV
U+444A	BYLC
U+444B	BYRV
U+444C	BANW
U+444D	BBCV
U+444E	BOIM
U+444F	BTRG
U+4450	SLNF
U+4451	SLTCO
U+4452	MGSK
U+4453	TBMIG
U+4454	HXJB
U+4455	HXHNQ
U+4456	HXJLO
U+4457	HXAMH
U+4458	HXTQM
U+4459	HRBMM
U+445A	HRB
U+445B	HRHVI
U+445C	HRPTD
U+445D	RRBNQ
U+445E	SFNIQ
U+445F	BQHAG
U+4460	HYNN
U+4461	HYEI
U+4462	HYMU
U+4463	HYHHH
U+4464	HYOIN
U+4465	HYNHE
U+4466	HYPR
U+4467	HYODI
U+4468	HYOPD
U+4469	HYJR
U+446A	HYOMR
U+446B	HYTT
U+446C	HYLMO
U+446D	HYEM
U+446E	HYNSD
U+446F	HYCNH
U+4470	HYYLH
U+4471	HYJNU
U+4472	HYYAJ
U+4473	HYOMB
U+4474	HYTMC
U+4475	HYAB
U+4476	HYQMB
U+4477	HYISB
U+4478	HYJMF
U+4479	HYJFE
U+447A	HYHNI
U+447B	HYYSD
U+447C	HYPUU
U+447D	HYASM
U+447E	HYOGE
U+447F	HYJOA
U+4480	HYHOI
U+4481	HYSMA
U+4482	HYVMI
U+4483	HYYHR
U+4484	HYBMW
U+4485	HYFQU
U+4486	HYYBK
U+4487	HYJMW
U+4488	HYJTC
U+4489	HYOTQ
U+448A	CSNAU
U+448B	LKNAU
U+448C	BCNAU
U+448D	YSNAU
U+448E	TTNAU
U+448F	CANAU
U+4490	TUNAU
U+4491	CM
U+4492	TSM
U+4493	TMVS
U+4494	TC
U+4495	TF
U+4496	TNJ
U+4497	TON
U+4498	THE
U+4499	TYM
U+449A	TFH
U+449B	TVIS
U+449C	THQ
U+449D	TKK
U+449E	TLBU
U+449F	TBY
U+44A0	TQJ
U+44A1	TNL
U+44A2	THVL
U+44A3	TBMM
U+44A4	TA
U+44A5	TLB
U+44A6	THIO
U+44A7	TGI
U+44A8	TOK
U+44A9	THD
U+44AA	TIT
U+44AB	TOIP
U+44AC	TMMF
U+44AD	TNMI
U+44AE	TBHN
U+44AF	TBKI
U+44B0	TSMG
U+44B1	TNEM
U+44B2	TVHP
U+44B3	TNSD
U+44B4	TKB
U+44B5	TVND
U+44B6	TLWP
U+44B7	THJR
U+44B8	THBT
U+44B9	TQD
U+44BA	TVIF
U+44BB	TURU
U+44BC	TTW
U+44BD	TBKK
U+44BE	TYHV
U+44BF	TBB
U+44C0	TGR
U+44C1	TGDI
U+44C2	TYMR
U+44C3	TRAU
U+44C4	TKHL
U+44C5	TEHL
U+44C6	TQHL
U+44C7	TGLC
U+44C8	THOE
U+44C9	TMHL
U+44CA	TMMR
U+44CB	TEHP
U+44CC	TGP
U+44CD	TAMJ
U+44CE	TFPI
U+44CF	TMFR
U+44D0	TKPU
U+44D1	TEMT
U+44D2	TPW
U+44D3	TQKI
U+44D4	TJKD
U+44D5	TYMU
U+44D6	TJCS
U+44D7	TCIP
U+44D8	THYR
U+44D9	THJP
U+44DA	THOM
U+44DB	TSUU
U+44DC	TEHM
U+44DD	TNDT
U+44DE	TISK
U+44DF	TBGR
U+44E0	TEA
U+44E1	TOKR
U+44E2	TWJR
U+44E3	TLBO
U+44E4	TPHP
U+44E5	OTAJ
U+44E6	TTBC
U+44E7	TNEM
U+44E8	TBOU
U+44E9	TDJE
U+44EA	TAPH
U+44EB	TKMR
U+44EC	TYAJ
U+44ED	TKDN
U+44EE	TNHK
U+44EF	TQMY
U+44F0	TMWG
U+44F1	TYPD
U+44F2	TOCU
U+44F3	THOV
U+44F4	TMBK
U+44F5	TRRR
U+44F6	TDLN
U+44F7	TEHN
U+44F8	TVVJ
U+44F9	TOIV
U+44FA	TTGK
U+44FB	TBMV
U+44FC	TVIH
U+44FD	TYRU
U+44FE	TEHV
U+44FF	TNIW
U+4500	TOHV
U+4501	TMWD
U+4502	TJYJ
U+4503	TIFM
U+4504	TBOU
U+4505	TMRR
U+4506	TKHG
U+4507	TUMT
U+4508	TMBC
U+4509	THDD
U+450A	TMGT
U+450B	TVFH
U+450C	THAJ
U+450D	TSQF
U+450E	TYDL
U+450F	TYHR
U+4510	TEII
U+4511	TODJ
U+4512	TNLR
U+4513	TYRJ
U+4514	TYTU
U+4515	TBIB
U+4516	TNLE
U+4517	TIFQ
U+4518	TOUM
U+4519	TCPI
U+451A	TMVB
U+451B	TPMC
U+451C	TSJB
U+451D	TYPF
U+451E	TYIJ
U+451F	THDN
U+4520	TDFB
U+4521	TNWF
U+4522	TOOS
U+4523	THNQ
U+4524	THAA
U+4525	TLLL
U+4526	TDOY
U+4527	THND
U+4528	TVHG
U+4529	TDLK
U+452A	TKKK
U+452B	TNMB
U+452C	TWTC
U+452D	TJPB
U+452E	TTCL
U+452F	TMWR
U+4530	TJMW
U+4531	TQRJ
U+4532	TNOT
U+4533	TBKF
U+4534	TUFE
U+4535	TAND
U+4536	TQAO
U+4537	TMGN
U+4538	TIKK
U+4539	TNLO
U+453A	TNLB
U+453B	TYDK
U+453C	TSIM
U+453D	TEAV
U+453E	TQAV
U+453F	TTWI
U+4540	TGFO
U+4541	TLYD
U+4542	TYIV
U+4543	TNLI
U+4544	TNET
U+4545	TVHE
U+4546	TDON
U+4547	TIHI
U+4548	TVMD
U+4549	TWLJ
U+454A	TYWM
U+454B	TGIR
U+454C	THDG
U+454D	TYVB
U+454E	TBUW
U+454F	TTGI
U+4550	TIFW
U+4551	TVFV
U+4552	TGRR
U+4553	TJBF
U+4554	THON
U+4555	TEAE
U+4556	TYNF
U+4557	THUL
U+4558	TOIC
U+4559	TJIG
U+455A	TSLC
U+455B	TYRO
U+455C	TSMJ
U+455D	THDB
U+455E	TANV
U+455F	THXC
U+4560	TINE
U+4561	TANR
U+4562	TMRM
U+4563	TLAV
U+4564	TRJL
U+4565	TCFB
U+4566	TYNV
U+4567	TBBK
U+4568	TBFF
U+4569	TDKF
U+456A	TEWJ
U+456B	TCHE
U+456C	TNMM
U+456D	TGGF
U+456E	TGJD
U+456F	TMFO
U+4570	TFHW
U+4571	TMTC
U+4572	TIYF
U+4573	TNMB
U+4574	THDF
U+4575	TGRF
U+4576	TYRE
U+4577	TIDF
U+4578	TWFR
U+4579	TYDG
U+457A	TTCE
U+457B	TMMP
U+457C	TTOG
U+457D	TRMI
U+457E	TRRK
U+457F	TTOF
U+4580	TRRR
U+4581	TBYTP
U+4582	TVFQ
U+4583	TRTRR
U+4584	TTGF
U+4585	TMBM
U+4586	TMWV
U+4587	TDDH
U+4588	YPP
U+4589	YPMD
U+458A	KYPU
U+458B	YUO
U+458C	YULN
U+458D	YPOK
U+458E	NLYPU
U+458F	YPPKK
U+4590	HLYPU
U+4591	YUA
U+4592	YPMRT
U+4593	UUYPU
U+4594	GIYPU
U+4595	YUBM
U+4596	YUWL
U+4597	YPIHR
U+4598	YUNAI
U+4599	SYHYN
U+459A	YUHRF
U+459B	YUJBF
U+459C	YUA
U+459D	HLMI
U+459E	LIDI
U+459F	YVLMI
U+45A0	LIHNI
U+45A1	LING
U+45A2	LIFH
U+45A3	LIHLO
U+45A4	NULMI
U+45A5	NHLMI
U+45A6	LIUU
U+45A7	LIAM
U+45A8	LIMR
U+45A9	LIPH
U+45AA	YPLMI
U+45AB	LICMJ
U+45AC	LIWL
U+45AD	FQLMI
U+45AE	LIHBR
U+45AF	GGLMI
U+45B0	LIHHV
U+45B1	LISMG
U+45B2	LIPA
U+45B3	LIJHP
U+45B4	LILMO
U+45B5	LILMI
U+45B6	LIMSO
U+45B7	LIKKB
U+45B8	HILMI
U+45B9	LITQ
U+45BA	OLHI
U+45BB	LIYIU
U+45BC	LIGIL
U+45BD	HNLMI
U+45BE	LIJMU
U+45BF	HHLMI
U+45C0	LIGCE
U+45C1	LIKMR
U+45C2	LIYPU
U+45C3	LIII
U+45C4	LICKL
U+45C5	LISMV
U+45C6	LIJRR
U+45C7	LIPFD
U+45C8	LIYVU
U+45C9	LIAA
U+45CA	LIFF
U+45CB	LITMD
U+45CC	LIAHM
U+45CD	VOLMI
U+45CE	LIMWG
U+45CF	LIJFE
U+45D0	YDLMI
U+45D1	LIAYT
U+45D2	LITTC
U+45D3	LIPKP
U+45D4	LIONK
U+45D5	JNUI
U+45D6	LITJB
U+45D7	LIHMT
U+45D8	LIGIT
U+45D9	JTCI
U+45DA	LIIBI
U+45DB	LIOLB
U+45DC	LIHHW
U+45DD	ILLMI
U+45DE	MKLII
U+45DF	SELMI
U+45E0	YOLMI
U+45E1	LIMYF
U+45E2	LIYHR
U+45E3	TMLII
U+45E4	LIILB
U+45E5	LIHOO
U+45E6	LIYHJ
U+45E7	LIILE
U+45E8	LINWF
U+45E9	LIIHF
U+45EA	ITFI
U+45EB	LIIDD
U+45EC	YJLMI
U+45ED	LILLP
U+45EE	LIKKK
U+45EF	LIYOG
U+45F0	LIWJC
U+45F1	LITCO
U+45F2	LIFDQ
U+45F3	LINOT
U+45F4	LIHNG
U+45F5	LIMWM
U+45F6	LITAV
U+45F7	LIYTP
U+45F8	YVGI
U+45F9	LITVP
U+45FA	NVLII
U+45FB	LIHAL
U+45FC	LIHJF
U+45FD	VGLMI
U+45FE	LIAVF
U+45FF	LIJPN
U+4600	HJLII
U+4601	JGLMI
U+4602	LIJIM
U+4603	LIWFG
U+4604	JALII
U+4605	IPLII
U+4606	LIJQP
U+4607	YKLII
U+4608	LIMBS
U+4609	MKLII
U+460A	LIHWI
U+460B	LIOIM
U+460C	SRLII
U+460D	TWBI
U+460E	LIVFN
U+460F	HTNL
U+4610	HTSHC
U+4611	HTINE
U+4612	HTICE
U+4613	HTNHX
U+4614	HTJHR
U+4615	HOYNN
U+4616	HOOUN
U+4617	HOUFN
U+4618	HOQFN
U+4619	HODBN
U+461A	YHVJ
U+461B	LHN
U+461C	LLB
U+461D	LIP
U+461E	LNVM
U+461F	LNL
U+4620	LKK
U+4621	PPYHV
U+4622	LJMN
U+4623	LYMP
U+4624	LIJC
U+4625	LWL
U+4626	LSP
U+4627	LLBK
U+4628	LYCK
U+4629	LPA
U+462A	LYIU
U+462B	VRYHV
U+462C	LIJ
U+462D	LMIG
U+462E	GOOV
U+462F	LFB
U+4630	LNKM
U+4631	YCORV
U+4632	LSME
U+4633	LC
U+4634	LDCI
U+4635	LVNE
U+4636	LUNE
U+4637	LFBF
U+4638	LYOK
U+4639	LYOJ
U+463A	LJMO
U+463B	LYIB
U+463C	LJNU
U+463D	LHXU
U+463E	LJRR
U+463F	LSUU
U+4640	LBB
U+4641	LII
U+4642	LCIP
U+4643	LKMB
U+4644	LHJX
U+4645	LMWV
U+4646	LNOK
U+4647	LMBK
U+4648	LONK
U+4649	LHJU
U+464A	LTJB
U+464B	LJMM
U+464C	LLMO
U+464D	LNOO
U+464E	LBVK
U+464F	LIBI
U+4650	LMRB
U+4651	LYWV
U+4652	LYVW
U+4653	LWLI
U+4654	LSRR
U+4655	LHOO
U+4656	LUBB
U+4657	LYCB
U+4658	LIHF
U+4659	LSEQ
U+465A	HFYHV
U+465B	LYCV
U+465C	LYHJ
U+465D	YGIV
U+465E	LNOT
U+465F	LWDQ
U+4660	LMTO
U+4661	LLMC
U+4662	LCWA
U+4663	LMKY
U+4664	LYBB
U+4665	LMBI
U+4666	LTWN
U+4667	LHJF
U+4668	LWDV
U+4669	LTBO
U+466A	DDKYV
U+466B	LLPC
U+466C	LBCV
U+466D	LJTO
U+466E	LTRG
U+466F	LIHO
U+4670	LYBG
U+4671	LSEI
U+4672	MWK
U+4673	MWF
U+4674	MWKSU
U+4675	MWGG
U+4676	MWHBV
U+4677	BUDI
U+4678	BUDI
U+4679	MTBUU
U+467A	FBUU
U+467B	LHBUU
U+467C	SRBUU
U+467D	KCBUU
U+467E	JPBUU
U+467F	JDBUU
U+4680	HYBUU
U+4681	HBBUU
U+4682	GCBUU
U+4683	YWBUU
U+4684	VEBUU
U+4685	DOBUU
U+4686	TKBUU
U+4687	FUBUU
U+4688	MGBUU
U+4689	QKBUU
U+468A	TTBUU
U+468B	RCBUU
U+468C	HJBUU
U+468D	QCBUU
U+468E	QXBUU
U+468F	FQBUU
U+4690	OABUU
U+4691	WCBUU
U+4692	YGBUU
U+4693	MJBUU
U+4694	JCBUU
U+4695	MPBUU
U+4696	MOBUU
U+4697	NBCI
U+4698	HONBN
U+4699	NBMAM
U+469A	NBHGU
U+469B	NBHQR
U+469C	NBHWJ
U+469D	NBYOJ
U+469E	NBDOO
U+469F	NBAMI
U+46A0	NBAPP
U+46A1	NBWP
U+46A2	NBPTD
U+46A3	NBAMO
U+46A4	NBWLB
U+46A5	NBNMM
U+46A6	NBHYU
U+46A7	NBSMH
U+46A8	NBNOE
U+46A9	NBHKB
U+46AA	NBWLV
U+46AB	HKNBQ
U+46AC	NBFDQ
U+46AD	NBTRG
U+46AE	YRNHS
U+46AF	YRLN
U+46B0	YRP
U+46B1	YRF
U+46B2	YRHHH
U+46B3	YRJE
U+46B4	YRB
U+46B5	YRYJ
U+46B6	YRMK
U+46B7	YRCMS
U+46B8	YROLL
U+46B9	YRPP
U+46BA	YROK
U+46BB	BYMR
U+46BC	YRNG
U+46BD	YRHQU
U+46BE	YRHG
U+46BF	YRNO
U+46C0	YRHE
U+46C1	YRBMM
U+46C2	YRHT
U+46C3	YRMMU
U+46C4	YRNIU
U+46C5	YRWL
U+46C6	YRLW
U+46C7	YRHNR
U+46C8	YROK
U+46C9	YRRVP
U+46CA	YRRC
U+46CB	YRIH
U+46CC	YRPRU
U+46CD	YRLLN
U+46CE	YRJC
U+46CF	YRSP
U+46D0	SRYMR
U+46D1	YRPH
U+46D2	MSYMR
U+46D3	LIYMR
U+46D4	YRMBL
U+46D5	YRLWK
U+46D6	YRLWP
U+46D7	SLYMR
U+46D8	YROHG
U+46D9	YROD
U+46DA	QHYMR
U+46DB	YRWR
U+46DC	YRHWK
U+46DD	YRNGU
U+46DE	YRAMJ
U+46DF	YRKOO
U+46E0	YRMRT
U+46E1	YRHPR
U+46E2	YRHDN
U+46E3	YRLWS
U+46E4	YRRYO
U+46E5	YRKKB
U+46E6	YRCOR
U+46E7	YRVFD
U+46E8	YRYTJ
U+46E9	YRMLM
U+46EA	YRJCN
U+46EB	YRSMV
U+46EC	YRPOU
U+46ED	YRGTJ
U+46EE	YRHYR
U+46EF	YRSJR
U+46F0	YRAPP
U+46F1	YRLP
U+46F2	YRHAB
U+46F3	YRKLU
U+46F4	YRKMR
U+46F5	YRBBE
U+46F6	YRQJD
U+46F7	YRJNU
U+46F8	YRIYR
U+46F9	YRVNO
U+46FA	YRWOL
U+46FB	YRHJU
U+46FC	YRHXM
U+46FD	YRHJX
U+46FE	YRQMF
U+46FF	YRMRB
U+4700	YRSIM
U+4701	YRVGK
U+4702	YRHAJ
U+4703	YGG
U+4704	YRSEQ
U+4705	YRUOG
U+4706	IDYMR
U+4707	YRYCV
U+4708	YRVVD
U+4709	YRDOE
U+470A	YRTWA
U+470B	YRLMC
U+470C	VFYRF
U+470D	YRKCF
U+470E	YRFFS
U+470F	YRNLB
U+4710	NBYMR
U+4711	YRMMP
U+4712	YRHBK
U+4713	YRTPD
U+4714	YRYKB
U+4715	YRTWB
U+4716	YRMWC
U+4717	YRIRP
U+4718	YRTRK
U+4719	YRAVF
U+471A	YRYWF
U+471B	YRNUU
U+471C	YRYBU
U+471D	YRVVI
U+471E	YRYX
U+471F	YRJIM
U+4720	YRHLC
U+4721	YRMBE
U+4722	YRJQP
U+4723	IVHML
U+4724	IVTC
U+4725	IVNKM
U+4726	IVTPA
U+4727	IVSIM
U+4728	IVLLP
U+4729	IVTLF
U+472A	CRKN
U+472B	CRM
U+472C	CRLW
U+472D	YBMCR
U+472E	CRJHQ
U+472F	CRPFD
U+4730	CRHAJ
U+4731	CRAWE
U+4732	CRVVV
U+4733	MRTV
U+4734	MTYE
U+4735	MTDHE
U+4736	MTHEQ
U+4737	MTSME
U+4738	MTSHU
U+4739	MTDL
U+473A	MTTA
U+473B	MTAMO
U+473C	NKMRT
U+473D	MTOMN
U+473E	MTYTA
U+473F	SIMRT
U+4740	MTHHW
U+4741	FFBMT
U+4742	SEMRT
U+4743	MTAVF
U+4744	MTOGE
U+4745	MOG
U+4746	PHMSO
U+4747	CUMSO
U+4748	MOHMU
U+4749	LBMSO
U+474A	MOJLO
U+474B	MOJMF
U+474C	MOEEE
U+474D	MOBJJ
U+474E	MOUMB
U+474F	MOLLV
U+4750	MONLB
U+4751	MOYTG
U+4752	MOSEO
U+4753	MOVVV
U+4754	MOTRG
U+4755	MOSJJ
U+4756	BHHLO
U+4757	BHD
U+4758	BHHNE
U+4759	BHSK
U+475A	BHSP
U+475B	BHDHE
U+475C	BHICE
U+475D	BHKMR
U+475E	BHYPU
U+475F	BHQHK
U+4760	BHMHF
U+4761	BHTLB
U+4762	BHAWE
U+4763	BHESD
U+4764	BHKCF
U+4765	BHHUJ
U+4766	BHWLO
U+4767	BCPMM
U+4768	LEBUC
U+4769	BCOHH
U+476A	BCNYO
U+476B	BCOS
U+476C	BCYG
U+476D	BCPR
U+476E	BCYVI
U+476F	BCOPD
U+4770	BCGDI
U+4771	KSKSC
U+4772	BCSOY
U+4773	YEBUC
U+4774	JBBUC
U+4775	BCIJB
U+4776	BCYRF
U+4777	ORBUC
U+4778	BCTJE
U+4779	BCJNU
U+477A	YKBUC
U+477B	BCSJR
U+477C	BCQMB
U+477D	BCMGG
U+477E	MMBUC
U+477F	HOBUC
U+4780	BCONK
U+4781	BCSAV
U+4782	BCMBK
U+4783	BCMGK
U+4784	YDBUC
U+4785	BCMVR
U+4786	BCFBC
U+4787	GIBUC
U+4788	BCIKF
U+4789	BCFQC
U+478A	BCYPU
U+478B	BCYDU
U+478C	BOHJR
U+478D	BOQMB
U+478E	BOAA
U+478F	BOWP
U+4790	BOQKA
U+4791	GCM
U+4792	GCBMR
U+4793	GCMVM
U+4794	GCSHU
U+4795	GCMBB
U+4796	GOIP
U+4797	GODH
U+4798	GOON
U+4799	GOMLB
U+479A	GOJE
U+479B	GOMLS
U+479C	GOMF
U+479D	GOMGI
U+479E	GOLLN
U+479F	GOHA
U+47A0	GOMR
U+47A1	GOAM
U+47A2	GOOS
U+47A3	GOHMY
U+47A4	GOPR
U+47A5	GOKB
U+47A6	GOHER
U+47A7	GOHMR
U+47A8	GOGG
U+47A9	GOOMR
U+47AA	GOSHL
U+47AB	GOSKR
U+47AC	GOHDS
U+47AD	GOICE
U+47AE	GOOMD
U+47AF	GOBND
U+47B0	GOGLC
U+47B1	GOCOR
U+47B2	GOHQI
U+47B3	GOYTR
U+47B4	GOBQR
U+47B5	GOEEE
U+47B6	GOAMH
U+47B7	GOSUU
U+47B8	GOMMR
U+47B9	GOHAG
U+47BA	GOHJU
U+47BB	GONBS
U+47BC	GOVNO
U+47BD	GOJBF
U+47BE	GOHYU
U+47BF	JTCO
U+47C0	GOTQM
U+47C1	GOVVD
U+47C2	GOAWE
U+47C3	GOIIH
U+47C4	GOQMC
U+47C5	JLGYO
U+47C6	GOWTJ
U+47C7	GOVII
U+47C8	GOJIG
U+47C9	GOWLI
U+47CA	GOYPO
U+47CB	GONCR
U+47CC	GOJIG
U+47CD	GOHUS
U+47CE	GOQOC
U+47CF	GOVID
U+47D0	GOMHM
U+47D1	GOOMB
U+47D2	GOTRG
U+47D3	RMMN
U+47D4	RMY
U+47D5	RMEI
U+47D6	RMU
U+47D7	RMHVP
U+47D8	RMYHN
U+47D9	RMPSH
U+47DA	RMMML
U+47DB	RMJB
U+47DC	RMOB
U+47DD	RMHNE
U+47DE	RMFH
U+47DF	HYRYO
U+47E0	RMIV
U+47E1	RMHVI
U+47E2	RMNF
U+47E3	RMIJC
U+47E4	RMPH
U+47E5	RMNIH
U+47E6	RMHKE
U+47E7	RMW
U+47E8	RMRVP
U+47E9	RMGI
U+47EA	RMHIO
U+47EB	FBRYO
U+47EC	RMOM
U+47ED	RMHS
U+47EE	RMOIK
U+47EF	RMHJR
U+47F0	RMHON
U+47F1	RMDB
U+47F2	RMYIU
U+47F3	ROSMM
U+47F4	RMMMV
U+47F5	RMIJE
U+47F6	RMOOG
U+47F7	RMQHL
U+47F8	RMBT
U+47F9	RMBDI
U+47FA	RMBUC
U+47FB	RMOMD
U+47FC	RMMPM
U+47FD	RMYIU
U+47FE	RMEEE
U+47FF	RMVNE
U+4800	RMFBR
U+4801	RMIIM
U+4802	DDRYO
U+4803	RMMLB
U+4804	RMTBC
U+4805	RMWHD
U+4806	RMSMV
U+4807	RMSUU
U+4808	RMLE
U+4809	RMJRR
U+480A	RMLMY
U+480B	RMHHJ
U+480C	RMEB
U+480D	RMRSE
U+480E	RMSMG
U+480F	RMNOK
U+4810	RMBUK
U+4811	RMKGG
U+4812	RMJRB
U+4813	RMTCW
U+4814	RMTPO
U+4815	RMYPD
U+4816	RMIOR
U+4817	RMHUK
U+4818	RMHWP
U+4819	RMYBS
U+481A	RMJCO
U+481B	RMBOU
U+481C	RMTSJ
U+481D	RMRBC
U+481E	RMIHF
U+481F	GIRYO
U+4820	KPBLO
U+4821	RMYPM
U+4822	TWLO
U+4823	RMRUC
U+4824	RMRRJ
U+4825	RMFBK
U+4826	RMORA
U+4827	RMSJA
U+4828	RMNCR
U+4829	RMYMH
U+482A	RMVVI
U+482B	RMSEO
U+482C	RMNTL
U+482D	RMDLC
U+482E	RMFQF
U+482F	RMOMB
U+4830	RMTRG
U+4831	RMSEI
U+4832	HHOII
U+4833	HHUU
U+4834	HHYT
U+4835	HHODI
U+4836	HHOK
U+4837	HHLMO
U+4838	HHKMS
U+4839	HHYVO
U+483A	HHLSR
U+483B	HHJCN
U+483C	HHOMN
U+483D	HHUMT
U+483E	HHANO
U+483F	HHLMC
U+4840	HHYWM
U+4841	HHYBP
U+4842	JJVL
U+4843	JJKS
U+4844	JJHN
U+4845	JJLLL
U+4846	JJCI
U+4847	JJMMU
U+4848	JJKK
U+4849	JJYHN
U+484A	JJHE
U+484B	JJJE
U+484C	JJKI
U+484D	JJQO
U+484E	JJHS
U+484F	JJNI
U+4850	JJJP
U+4851	JJRVP
U+4852	JJW
U+4853	HOJJN
U+4854	JJNIN
U+4855	JJNEM
U+4856	JJMCG
U+4857	MNJWJ
U+4858	JJPW
U+4859	JJIAV
U+485A	JJHAU
U+485B	JJJWJ
U+485C	JJGCG
U+485D	JJJNU
U+485E	BUKJJ
U+485F	JJHWJ
U+4860	JJYBC
U+4861	JJPPA
U+4862	JJISB
U+4863	JJBJJ
U+4864	JAJWJ
U+4865	JJJCR
U+4866	JJEED
U+4867	JJHRF
U+4868	TMJWJ
U+4869	JJJBC
U+486A	JJISM
U+486B	JJYHJ
U+486C	JJAWE
U+486D	JJTQG
U+486E	JJHOO
U+486F	JJHWP
U+4870	GEJWJ
U+4871	JJSRR
U+4872	JJRRJ
U+4873	JJTCL
U+4874	JJYTG
U+4875	JJYTO
U+4876	JJSRJ
U+4877	JJTGT
U+4878	JJTWV
U+4879	JJJBO
U+487A	JJQJP
U+487B	JJHUS
U+487C	JJMBR
U+487D	JJHUC
U+487E	JJYBK
U+487F	JJMBO
U+4880	KQON
U+4881	KQB
U+4882	KQYT
U+4883	SJK
U+4884	IJDD
U+4885	HXMMV
U+4886	BNMVI
U+4887	JUMVI
U+4888	MVOMA
U+4889	HXMMV
U+488A	YND
U+488B	YML
U+488C	YJB
U+488D	YYHS
U+488E	YMT
U+488F	YYJ
U+4890	YBM
U+4891	YHVI
U+4892	YYCK
U+4893	YJMD
U+4894	YOMR
U+4895	YIHM
U+4896	YLQ
U+4897	YTW
U+4898	YJDI
U+4899	YBUC
U+489A	YMLK
U+489B	YBCR
U+489C	YSMB
U+489D	YMLM
U+489E	YDD
U+489F	YYSK
U+48A0	YFT
U+48A1	YPTD
U+48A2	YOIR
U+48A3	YNIR
U+48A4	YHDD
U+48A5	YMMU
U+48A6	YYIJ
U+48A7	YSMH
U+48A8	YHOO
U+48A9	YMRK
U+48AA	YHKB
U+48AB	YNLB
U+48AC	YBBQ
U+48AD	YTGO
U+48AE	YMBW
U+48AF	YFFQ
U+48B0	YSMG
U+48B1	YGWC
U+48B2	YBUE
U+48B3	HNNL
U+48B4	HJNL
U+48B5	MINL
U+48B6	DNL
U+48B7	BYNL
U+48B8	BMNL
U+48B9	SSNL
U+48BA	UUNL
U+48BB	SLNL
U+48BC	TCNL
U+48BD	TCRAU
U+48BE	HUNL
U+48BF	JVNL
U+48C0	NUNL
U+48C1	SMNL
U+48C2	QDNL
U+48C3	OMNL
U+48C4	ODNL
U+48C5	MVNL
U+48C6	MMNL
U+48C7	IENL
U+48C8	RURAU
U+48C9	EHRAU
U+48CA	FBNL
U+48CB	HDNL
U+48CC	IINL
U+48CD	KUNL
U+48CE	VWNL
U+48CF	OTCL
U+48D0	TKNL
U+48D1	MGNL
U+48D2	LONL
U+48D3	MBNL
U+48D4	FCNL
U+48D5	SFNL
U+48D6	SFRAU
U+48D7	HJNL
U+48D8	FGNL
U+48D9	UBNL
U+48DA	LVNL
U+48DB	DENL
U+48DC	YMNL
U+48DD	SANL
U+48DE	RUNL
U+48DF	MANL
U+48E0	QANL
U+48E1	TINL
U+48E2	QDTAL
U+48E3	FFNL
U+48E4	BENL
U+48E5	MWP
U+48E6	MWKS
U+48E7	MWIP
U+48E8	MWQU
U+48E9	MWPU
U+48EA	MWJB
U+48EB	MWJE
U+48EC	MWI
U+48ED	MWIK
U+48EE	MWIKK
U+48EF	MWBM
U+48F0	MWSS
U+48F1	MWPR
U+48F2	MWIT
U+48F3	MWSMR
U+48F4	MWUKU
U+48F5	MWSJ
U+48F6	MWHJR
U+48F7	MWHJD
U+48F8	OGMCW
U+48F9	MWOI
U+48FA	MWRB
U+48FB	MWOIR
U+48FC	MWYRF
U+48FD	ORMCW
U+48FE	MWJBM
U+48FF	MWMDT
U+4900	MWTKR
U+4901	MWTMV
U+4902	MWTMD
U+4903	MWYTA
U+4904	MWMWL
U+4905	MWOMN
U+4906	MWNOK
U+4907	MWJFE
U+4908	MWCMT
U+4909	MWPHT
U+490A	MWTSJ
U+490B	TWIRM
U+490C	MWOIR
